Frame Number  X      Y      Width    Height
    13      619       22       32       30
    18      646       22       31       30
    23      649       49       30       29
    28      640       62       31       31
    33      669       55       27       32
    38      692       52       26       32
    43      700       45       26       33
    48      734       33       25       34
    53      761        8       24       36
    58      791        1       24       29
    63      846        1       14        7
    68      868        1       13       14
    73      890        1       13       34
    78      921       32       15       40
    83      960       71       16       25
    88      997      119       24       43
   118     1014      426       11       20
   123      990      380       35       38
   128      966      352       39       39
   133      976      345       40       36
   138      977      346       44       36
   143      986      350       39       34
   148      984      357       41       36
   153     1001      344       24       25
   158     1001      361       24       24
   163     1009      371       16       21
   168     1020      405        5        8
   178     1005      489       20       15
   233      873      762       61        7
   243      805      663       78       33
   248      776      668       77       36
   253      767      679       76       40
